EventNumber Product1_Name Product1_isBoson Product1_mass Product1_px Product1_py Product1_pz Product1_E Product1_pT Product2_Name Product2_isBoson Product2_mass Product2_px Product2_py Product2_pz Product2_E Product2_pT
52 W+ 1 80.4 -14.75 -0.21 -27.2 86.1488 0 W- 1 80.4 -10.25 -2.79 -52.8 96.7721 0
53 b 0 4.18 31.62 9 18.02 37.7229 0 b 0 4.18 30.38 51 34.98 69.0291 0
54 b 0 4.18 -36.5 -15.12 -11.96 41.4895 0 b 0 4.18 -36.5 -40.88 -40.04 68.0007 0
55 b 0 4.18 -6.3 9.25 -0 11.9468 0 b 0 4.18 -3.7 15.75 -1 16.7399 0
56 b 0 4.18 30.4 -8.7 52.2 61.1732 0 b 0 4.18 64.6 -78.3 37.8 108.399 0
57 tau+ 0 1.77 -0.24 -4.2 24.18 24.607 0 tau- 0 1.77 -1.76 -37.8 6.82 38.4913 0
58 b 0 4.18 67.34 -2.25 -3.06 67.5764 0 b 0 4.18 6.66 -72.75 -47.94 87.4793 0
59 b 0 4.18 3 15.98 0.96 16.8153 0 b 0 4.18 72 1.02 47.04 86.112 0
60 b 0 4.18 -19.8 4.14 -18.46 27.7024 0 b 0 4.18 -79.2 41.86 -7.54 89.9957 0
61 b 0 4.18 49.47 -9.9 0.19 50.6241 0 b 0 4.18 47.53 -23.1 0.81 53.0173 0
62 W+ 1 80.4 -23.04 0 7.56 83.9771 0 W- 1 80.4 -8.96 0 34.44 87.9236 0
63 tau+ 0 1.77 -15 20.7 -20.3 32.6912 0 tau- 0 1.77 -45 24.3 -49.7 71.3352 0
64 b 0 4.18 21.62 6.93 -43.4 49.1577 0 b 0 4.18 72.38 92.07 -18.6 118.656 0
65 b 0 4.18 -2.7 33.44 23.66 41.2649 0 b 0 4.18 -6.3 42.56 67.34 80.0199 0
66 b 0 4.18 -6.58 -51.06 5.1 51.9028 0 b 0 4.18 -40.42 -22.94 24.9 52.8914 0
67 b 0 4.18 77.4 -7.37 -0.6 77.8647 0 b 0 4.18 12.6 -59.63 -19.4 64.0963 0
68 b 0 4.18 17 -5.25 35.77 40.1687 0 b 0 4.18 68 -69.75 13.23 98.395 0
69 Z 1 91.2 -0.96 -42.63 10.75 101.248 0 Z 1 91.2 -11.04 -44.37 14.25 103.01 0
70 b 0 4.18 3.68 11 -14.88 19.3243 0 b 0 4.18 19.32 39 -9.12 44.6644 0
71 b 0 4.18 21.06 1.6 20.15 29.4886 0 b 0 4.18 56.94 18.4 10.85 60.9583 0
72 b 0 4.18 -29.4 -21 7.54 37.1441 0 b 0 4.18 -30.6 -63 21.46 73.3714 0
73 W+ 1 80.4 -12.96 -1.5 -20.16 83.9095 0 W- 1 80.4 -11.04 -13.5 -35.84 89.7374 0
74 b 0 4.18 2.88 -1.75 -2.13 5.77635 0 b 0 4.18 1.12 -5.25 -68.87 69.2052 0
75 b 0 4.18 -1.9 -1.62 -38.43 38.7372 0 b 0 4.18 -17.1 -4.38 -22.57 28.9564 0
76 W+ 1 80.4 31.68 8.7 -30.66 92.106 0 W- 1 80.4 34.32 78.3 -42.34 124.762 0
77 b 0 4.18 27.45 -2.08 17.02 32.6341 0 b 0 4.18 17.55 -10.92 56.98 60.7572 0
78 b 0 4.18 -1.05 -23.04 29.4 37.6002 0 b 0 4.18 -5.95 -40.96 30.6 51.6426 0
79 b 0 4.18 28.09 -11.4 -3.78 30.8345 0 b 0 4.18 24.91 -18.6 -38.22 49.444 0
80 tau+ 0 1.77 -14.4 -6.9 -1.5 16.1355 0 tau- 0 1.77 -15.6 -8.1 -23.5 29.3999 0
81 W+ 1 80.4 10.88 8.45 -14.44 82.8399 0 W- 1 80.4 57.12 4.55 -61.56 116.349 0
82 Z 1 91.2 1.6 -38.72 1.76 99.1077 0 Z 1 91.2 2.4 -49.28 9.24 104.101 0
83 W+ 1 80.4 39.75 -0.3 -9.2 90.1607 0 W- 1 80.4 13.25 -14.7 -30.8 88.3428 0
84 b 0 4.18 -43.4 -1.68 -0.9 43.6425 0 b 0 4.18 -26.6 -19.32 -2.1 33.207 0
85 b 0 4.18 -30.38 -0.32 0 30.6679 0 b 0 4.18 -0.620001 -15.68 86 87.5198 0
86 b 0 4.18 21.45 -5.25 19.8 29.9529 0 b 0 4.18 11.55 -29.75 79.2 85.4902 0
87 b 0 4.18 16.32 -12.09 -2.86 20.9323 0 b 0 4.18 17.68 -18.91 -19.14 32.4651 0
88 b 0 4.18 -52.14 -12.48 4.4 53.9552 0 b 0 4.18 -26.86 -35.52 50.6 67.5349 0
89 b 0 4.18 -14.76 14.57 20.13 29.2033 0 b 0 4.18 -26.24 32.43 40.87 58.5497 0
90 W+ 1 80.4 -49.14 -13.64 -13.5 96.1624 0 W- 1 80.4 -41.86 -30.36 -76.5 122.435 0
91 b 0 4.18 -9.31 -20.46 4.5 23.3026 0 b 0 4.18 -9.69 -41.54 20.5 47.5099 0
92 b 0 4.18 -1.62 -3.06 0.22 5.4322 0 b 0 4.18 -0.38 -14.94 10.78 18.8952 0
93 b 0 4.18 -18.55 0.56 -3.33 19.3126 0 b 0 4.18 -34.45 0.44 -33.67 48.3543 0
94 b 0 4.18 -35.75 18.45 1.12 40.4622 0 b 0 4.18 -29.25 26.55 26.88 47.9632 0
95 b 0 4.18 -3 -22.94 6.24 24.3239 0 b 0 4.18 -22 -14.06 17.76 31.8524 0
96 tau+ 0 1.77 13.5 -25.85 -7.59 30.1863 0 tau- 0 1.77 31.5 -29.15 -25.41 49.9076 0
97 b 0 4.18 -20.3 -7.8 -1.5 22.1958 0 b 0 4.18 -14.7 -12.2 -48.5 52.2939 0
98 b 0 4.18 -1.1 -25.52 25.73 36.4964 0 b 0 4.18 -8.9 -18.48 57.27 60.9758 0
99 b 0 4.18 -6.58 44.62 -5.95 45.685 0 b 0 4.18 -7.42 52.38 -79.05 95.2108 0
100 W+ 1 80.4 -2.09 32.85 -28.16 91.3271 0 W- 1 80.4 -16.91 40.15 -35.84 98.2173 0
101 W+ 1 80.4 27.52 2.8 -18.15 86.9412 0 W- 1 80.4 58.48 5.2 -36.85 106.156 0
102 W+ 1 80.4 -22.62 0.48 37.8 91.6782 0 W- 1 80.4 -55.38 47.52 16.2 109.78 0
103 b 0 4.18 40.15 1.98 -12.96 42.4426 0 b 0 4.18 14.85 16.02 -68.04 71.5827 0
104 W+ 1 80.4 3 0.58 58.46 99.4538 0 W- 1 80.4 9 57.42 20.54 101.312 0
105 b 0 4.18 0 -23.75 -5.5 24.7343 0 b 0 4.18 0 -71.25 -44.5 84.1088 0
106 b 0 4.18 20.16 11.76 13.6 27.3341 0 b 0 4.18 15.84 37.24 54.4 67.9305 0
107 b 0 4.18 -2.76 6.93 44.88 45.6873 0 b 0 4.18 -89.24 70.07 6.12 113.704 0
108 b 0 4.18 -70 0 -0 70.1247 0 b 0 4.18 0 57 -2 57.188 0
109 Z 1 91.2 13.86 -4.14 3.41 92.403 0 Z 1 91.2 8.14 -64.86 7.59 112.464 0
110 b 0 4.18 50.4 -0.26 -4.64 50.7861 0 b 0 4.18 5.6 -12.74 -53.36 55.3031 0
111 b 0 4.18 -17.04 10.29 -2.64 20.5107 0 b 0 4.18 -6.96 38.71 -30.36 49.8609 0
112 W+ 1 80.4 8.58 -15.66 9.76 82.9353 0 W- 1 80.4 24.42 -11.34 51.24 99.0688 0
113 b 0 4.18 7.15 12.88 -9.46 17.9995 0 b 0 4.18 5.85 43.12 -33.54 55.0996 0
114 b 0 4.18 6.57 19 -6.6 21.5684 0 b 0 4.18 66.43 57 -3.4 87.6982 0
115 b 0 4.18 -22.63 8.48 -9.12 26.1663 0 b 0 4.18 -50.37 7.52 -47.88 70.0261 0
116 W+ 1 80.4 1.85 -1.26 -11.4 81.235 0 W- 1 80.4 3.15 -40.74 -7.6 90.5074 0
117 Z 1 91.2 8.5 24.5 23.87 97.7738 0 Z 1 91.2 16.5 45.5 53.13 116.115 0
118 W+ 1 80.4 2.94 -1.34 1.2 80.4738 0 W- 1 80.4 11.06 -0.66 8.8 81.6355 0
119 W+ 1 80.4 -21.7 -0.14 -36.85 91.0659 0 W- 1 80.4 -48.3 -6.86 -18.15 95.7786 0
120 b 0 4.18 -20.4 0.8 1.54 20.896 0 b 0 4.18 -3.6 9.2 20.46 23.1016 0
121 b 0 4.18 -6.86 74.76 -1.78 75.2114 0 b 0 4.18 -42.14 14.24 -87.22 97.9967 0
122 b 0 4.18 68.64 -0.61 4.41 68.9111 0 b 0 4.18 19.36 -60.39 16.59 65.6846 0
123 b 0 4.18 -12.32 8.19 -36 39.145 0 b 0 4.18 -64.68 82.81 -12 105.842 0
124 W+ 1 80.4 -9.31 28.35 12.6 86.6794 0 W- 1 80.4 -39.69 16.65 57.4 107.756 0
125 W+ 1 80.4 -30.82 -10.8 1.82 86.7985 0 W- 1 80.4 -15.18 -43.2 12.18 93.323 0
126 Z 1 91.2 -10.45 13.11 10.14 93.2809 0 Z 1 91.2 -8.55 55.89 28.86 111.118 0
127 b 0 4.18 -36.4 30.4 -1.68 47.6384 0 b 0 4.18 -19.6 64.6 -54.32 86.7494 0
128 b 0 4.18 4.6 -1.44 -22.75 23.6277 0 b 0 4.18 15.4 -10.56 -12.25 22.7202 0
129 b 0 4.18 -25.74 -33 7.5 42.7232 0 b 0 4.18 -73.26 -42 17.5 86.3409 0
130 b 0 4.18 43.5 -5.8 -0.78 44.0905 0 b 0 4.18 31.5 -14.2 -5.22 35.1939 0
131 b 0 4.18 -50.4 1.9 8.91 51.3871 0 b 0 4.18 -9.6 36.1 72.09 81.3007 0
132 tau+ 0 1.77 38.25 -24.09 18.26 48.7847 0 tau- 0 1.77 46.75 -48.91 64.74 93.6598 0
133 b 0 4.18 0.84 -28.56 -3.12 29.0446 0 b 0 4.18 1.16 -55.44 -9.88 56.4803 0
134 b 0 4.18 8.46 -0.3 -47.74 48.6646 0 b 0 4.18 38.54 -5.7 -14.26 41.697 0
135 b 0 4.18 -9.8 20.24 18.92 29.6839 0 b 0 4.18 -18.2 71.76 25.08 78.2765 0
136 b 0 4.18 6.24 -13.75 -3.33 16.0175 0 b 0 4.18 71.76 -11.25 -5.67 72.9773 0
137 W+ 1 80.4 35.52 21.16 -1.41 90.4188 0 W- 1 80.4 12.48 70.84 -45.59 117.118 0
138 b 0 4.18 -7.92 -5 23.76 25.8793 0 b 0 4.18 -10.08 -20 42.24 47.9927 0
139 b 0 4.18 56.44 9.9 11.13 58.5221 0 b 0 4.18 26.56 80.1 41.87 94.2975 0
140 b 0 4.18 -0.98 -16.2 9.9 19.4649 0 b 0 4.18 -13.02 -43.8 5.1 46.1676 0
141 b 0 4.18 81.34 1.7 0 81.4651 0 b 0 4.18 1.66 83.3 76 112.85 0
142 b 0 4.18 0.33 40.74 6.75 41.5077 0 b 0 4.18 0.67 56.26 20.25 59.9431 0
143 b 0 4.18 -16.28 -4.76 37.24 41.1338 0 b 0 4.18 -27.72 -29.24 38.76 56.0641 0
144 b 0 4.18 -62.7 -1.6 0.39 62.8608 0 b 0 4.18 -3.3 -78.4 12.61 79.586 0
145 b 0 4.18 -4.18 -8.4 9.87 14.2451 0 b 0 4.18 -33.82 -11.6 11.13 37.6789 0
146 W+ 1 80.4 -13.8 -18.7 -16.56 85.3143 0 W- 1 80.4 -55.2 -36.3 -19.44 105.862 0
147 W+ 1 80.4 13.76 2.16 6.5 81.8561 0 W- 1 80.4 29.24 69.84 3.5 110.494 0
148 tau+ 0 1.77 3.45 -21.35 30.5 37.4314 0 tau- 0 1.77 19.55 -39.65 30.5 53.7374 0
149 Z 1 91.2 69.56 -1.98 0.84 114.72 0 Z 1 91.2 4.44 -97.02 20.16 134.746 0
150 b 0 4.18 25.84 3.5 11.4 28.7644 0 b 0 4.18 42.16 3.5 83.6 93.7878 0
151 b 0 4.18 19.32 -44 0.34 48.2374 0 b 0 4.18 49.68 -36 1.66 61.5169 0
152 W+ 1 80.4 -0.46 2.2 20.24 82.9389 0 W- 1 80.4 -0.54 19.8 25.76 86.7183 0
153 W+ 1 80.4 -31.68 -3.2 16.56 88.0469 0 W- 1 80.4 -12.32 -76.8 52.44 123.548 0
154 tau+ 0 1.77 5.94 -26.4 6.84 27.9672 0 tau- 0 1.77 12.06 -28.6 29.16 42.6244 0
155 W+ 1 80.4 52.25 -1.88 -0.11 95.905 0 W- 1 80.4 2.75 -45.12 -10.89 92.877 0
156 tau+ 0 1.77 1.2 -32.3 -1.2 32.3929 0 tau- 0 1.77 58.8 -52.7 -0.8 78.9842 0
157 b 0 4.18 -8.82 -39.36 -4 40.7489 0 b 0 4.18 -54.18 -8.64 -96 110.651 0
158 b 0 4.18 11.83 -1.58 1.19 12.7017 0 b 0 4.18 1.17 -77.42 15.81 79.1369 0
159 b 0 4.18 -1.66 -15.6 49.3 51.9045 0 b 0 4.18 -81.34 -23.4 35.7 91.955 0
160 W+ 1 80.4 -1.56 -16.56 -18.2 84.0956 0 W- 1 80.4 -11.44 -75.44 -7.8 111.117 0
161 b 0 4.18 -16.56 -7.28 31.92 36.9268 0 b 0 4.18 -29.44 -20.72 52.08 63.4494 0
162 b 0 4.18 49.2 8.64 3.56 50.2537 0 b 0 4.18 32.8 15.36 85.44 92.8937 0
163 b 0 4.18 -4.83 12.24 57.76 59.3872 0 b 0 4.18 -64.17 59.76 18.24 89.6617 0
164 b 0 4.18 -3.72 -9.88 44.8 46.2165 0 b 0 4.18 -8.28 -66.12 35.2 75.478 0
165 b 0 4.18 -25.38 -7.47 -25.96 37.3007 0 b 0 4.18 -28.62 -75.53 -33.04 87.367 0
166 tau+ 0 1.77 -5.8 14.04 -11.25 18.9857 0 tau- 0 1.77 -4.2 37.96 -63.75 74.3357 0
167 b 0 4.18 -22.88 27.3 -28.16 45.5987 0 b 0 4.18 -65.12 63.7 -35.84 97.981 0
168 b 0 4.18 31.92 3.2 -2.4 32.4401 0 b 0 4.18 24.08 4.8 -77.6 81.4992 0
169 b 0 4.18 41.44 -0.92 -2.94 41.764 0 b 0 4.18 14.56 -3.08 -95.06 96.3087 0
170 W+ 1 80.4 28.29 3.8 -17.94 87.1824 0 W- 1 80.4 40.71 15.2 -28.06 95.6027 0
171 b 0 4.18 1.5 -2.16 3.12 5.84144 0 b 0 4.18 13.5 -15.84 0.88 21.2462 0
172 W+ 1 80.4 -25.92 -2.16 2.6 84.5425 0 W- 1 80.4 -70.08 -24.84 1.4 109.519 0
173 b 0 4.18 -12.6 8.4 -6.05 16.8343 0 b 0 4.18 -47.4 26.6 -4.95 54.7384 0
174 b 0 4.18 -10.54 4.2 63.24 64.3856 0 b 0 4.18 -51.46 23.8 29.76 64.1693 0
175 b 0 4.18 -11.04 43.35 0.38 44.9302 0 b 0 4.18 -11.96 41.65 37.62 57.537 0
176 b 0 4.18 -9.52 -8.51 -18.27 22.6785 0 b 0 4.18 -7.48 -28.49 -68.73 74.8927 0
177 b 0 4.18 0.05 2.64 69.35 69.526 0 b 0 4.18 0.95 9.36 25.65 27.6389 0
178 b 0 4.18 49.59 4.84 17.92 53.1149 0 b 0 4.18 37.41 39.16 38.08 66.3368 0
179 W+ 1 80.4 30.34 15.04 -11.88 88.0455 0 W- 1 80.4 43.66 31.96 -32.12 102.096 0
180 b 0 4.18 20.52 24.84 -9.1 33.7399 0 b 0 4.18 17.48 44.16 -81.9 94.7668 0
181 b 0 4.18 -34.65 8.28 0 35.8699 0 b 0 4.18 -10.35 27.72 24 38.3274 0
182 b 0 4.18 37.38 3.3 0 37.7575 0 b 0 4.18 4.62 26.7 43 50.9971 0
183 W+ 1 80.4 0.5 -17.25 -1.04 82.2378 0 W- 1 80.4 9.5 -7.75 -2.96 81.3833 0
184 b 0 4.18 -0.52 -3.45 22.36 23.0134 0 b 0 4.18 -0.48 -65.55 29.64 72.0627 0
185 b 0 4.18 21.44 -0.55 -24.36 32.724 0 b 0 4.18 10.56 -10.45 -62.64 64.5132 0
186 W+ 1 80.4 -91.18 1.46 2.2 121.593 0 W- 1 80.4 -5.82 71.54 52.8 120.016 0
187 b 0 4.18 2.5 18.2 2.99 19.0762 0 b 0 4.18 7.5 16.8 10.01 21.358 0
188 W+ 1 80.4 -5.64 -4.2 -45.44 92.6197 0 W- 1 80.4 -88.36 -9.8 -25.56 122.56 0
189 b 0 4.18 0.98 -1.9 13.44 14.2364 0 b 0 4.18 6.02 -93.1 2.56 93.4231 0
190 b 0 4.18 1.2 -15.4 2.88 16.2594 0 b 0 4.18 1.8 -39.6 6.12 40.3277 0
191 b 0 4.18 25.9 -0.96 5.2 26.7627 0 b 0 4.18 9.1 -5.04 46.8 48.1241 0
192 W+ 1 80.4 -23.66 -1.44 -0 83.8214 0 W- 1 80.4 -2.34 -14.56 -68 106.328 0
193 W+ 1 80.4 20.91 -1.28 -1.02 83.0907 0 W- 1 80.4 20.09 -2.72 -4.98 83.066 0
194 b 0 4.18 -31.5 -0.42 16.53 35.8209 0 b 0 4.18 -13.5 -41.58 40.47 59.7197 0
195 W+ 1 80.4 86.45 1.25 -0 118.065 0 W- 1 80.4 4.55 23.75 -33 90.2104 0
196 tau+ 0 1.77 -15.33 1.16 -10.81 18.8771 0 tau- 0 1.77 -5.67 27.84 -36.19 46.0441 0
197 b 0 4.18 24.08 -3.24 -2.96 24.831 0 b 0 4.18 3.92 -50.76 -34.04 61.3852 0
198 b 0 4.18 9.8 4.94 -31.68 33.7867 0 b 0 4.18 10.2 21.06 -67.32 71.3934 0
199 W+ 1 80.4 19.43 1.32 23.18 85.9112 0 W- 1 80.4 47.57 2.68 37.82 100.82 0
200 b 0 4.18 11.5 3.55 -28 30.7624 0 b 0 4.18 34.5 67.45 -12 76.8194 0
201 b 0 4.18 28.8 -27 0 39.6978 0 b 0 4.18 43.2 -18 35 58.5894 0
202 b 0 4.18 -31.35 24.79 1.5 40.213 0 b 0 4.18 -63.65 42.21 3.5 76.5685 0
203 b 0 4.18 14.6 26.52 20.01 36.5287 0 b 0 4.18 58.4 25.48 48.99 80.4816 0
204 b 0 4.18 -44.73 -4.48 -1.3 45.1664 0 b 0 4.18 -26.27 -9.52 -24.7 37.5274 0
205 W+ 1 80.4 5.98 4.24 -18 82.7158 0 W- 1 80.4 20.02 3.76 -57 100.638 0
206 W+ 1 80.4 23 -25.38 1.4 87.4029 0 W- 1 80.4 69 -28.62 3.6 109.805 0
207 b 0 4.18 19.5 -34.08 -1.7 39.5229 0 b 0 4.18 19.5 -36.92 -83.3 93.2722 0
208 b 0 4.18 0.91 60.68 8.84 61.4696 0 b 0 4.18 90.09 13.32 43.16 100.866 0
209 b 0 4.18 -12.58 2.1 1.9 13.5554 0 b 0 4.18 -4.42 27.9 8.1 29.6821 0
210 tau+ 0 1.77 -33.82 13.86 38.88 53.3918 0 tau- 0 1.77 -55.18 85.14 42.12 109.868 0
211 Z 1 91.2 -37.82 -5.7 0.09 98.8953 0 Z 1 91.2 -24.18 -13.3 0.91 95.2881 0
212 b 0 4.18 0.91 -21.56 3.85 22.3149 0 b 0 4.18 90.09 -27.44 3.15 94.3216 0
213 b 0 4.18 -4.7 77.35 3.1 77.6672 0 b 0 4.18 -89.3 13.65 27.9 94.6398 0
214 Z 1 91.2 36.45 20.01 4.48 100.332 0 Z 1 91.2 44.55 66.99 9.52 121.985 0
215 W+ 1 80.4 15.52 0.07 0.76 81.8878 0 W- 1 80.4 0.48 6.93 37.24 88.8776 0
216 b 0 4.18 15.6 11.22 -14.8 24.6122 0 b 0 4.18 36.4 22.78 -25.2 49.964 0
217 W+ 1 80.4 24.49 -14.4 -2.28 85.3023 0 W- 1 80.4 6.51 -65.6 -73.72 127.454 0
218 W+ 1 80.4 45.6 2.52 1.34 92.4752 0 W- 1 80.4 2.4 81.48 65.66 131.985 0
219 b 0 4.18 -17 -16.56 -9.79 26.0106 0 b 0 4.18 -68 -7.44 -79.21 104.743 0
220 b 0 4.18 -26.4 -6.5 -48.45 55.7143 0 b 0 4.18 -53.6 -58.5 -36.55 87.4562 0
221 b 0 4.18 35.15 -1.28 2.91 35.5401 0 b 0 4.18 1.85 -62.72 94.09 113.171 0
222 b 0 4.18 11.9 11 38.22 41.7235 0 b 0 4.18 58.1 14 59.78 84.6329 0
223 b 0 4.18 0.22 -83.16 -0 83.2653 0 b 0 4.18 21.78 -0.839996 -35 41.4433 0
224 b 0 4.18 6.5 -5.1 -28.16 29.6432 0 b 0 4.18 6.5 -79.9 -35.84 87.9104 0
225 W+ 1 80.4 -54.27 -0.93 14.56 98.0931 0 W- 1 80.4 -12.73 -30.07 76.44 115.644 0
226 W+ 1 80.4 -7.2 -5.89 -21.96 83.8626 0 W- 1 80.4 -28.8 -25.11 -14.04 90.1179 0
227 b 0 4.18 -24 10.25 12.25 29.1307 0 b 0 4.18 -36 30.75 22.75 52.6934 0
228 b 0 4.18 0.57 44.53 17.28 47.9512 0 b 0 4.18 18.43 16.47 54.72 60.1887 0
229 b 0 4.18 20.7 -12.16 6.4 25.195 0 b 0 4.18 24.3 -19.84 33.6 46.1579 0
230 tau+ 0 1.77 -3.72 16.8 -5.46 18.139 0 tau- 0 1.77 -8.28 13.2 -36.54 39.7631 0
231 b 0 4.18 -3.69 71.44 -13.2 72.8629 0 b 0 4.18 -37.31 22.56 -74.8 86.6805 0
232 b 0 4.18 -5.85 -4.68 37.44 38.4103 0 b 0 4.18 -9.15 -47.32 34.56 59.4539 0
233 b 0 4.18 33.44 17.98 6 38.6651 0 b 0 4.18 42.56 40.02 18 61.2734 0
